participant_file,sent_id,condition,authority_rating,explanation_text
no.003,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""it sounds very basic with general safety measures nothing excessive\n""}"
no.003,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""The wording of \""may\"" and  \""nothing intended\"" both sound kind of passive so it felt neautral""}"
no.003,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""THere are a lot of clauses and rules so it seems very authoritive""}"
no.003,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""This feels like aleft over bill like since it didnt happen heres what happens so its doesnt sit idle not an \""Active\"" bill""}"
no.003,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""THis feels passive because of the \""may not\"" aspect as well as covering for when no one is available\n""}"
no.003,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""This has a lot of clauses and rules so it feels very authoritive""}"
no.003,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""using words like \""No funds\"" and mentioning ACTs make for an authoritive rating""}"
no.003,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""Use words like No and disallow makes it very authoritive""}"
no.003,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""Using words like intrusted and liablities and penalities makes it a very authoritive draft""}"
no.003,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""this sounds very passive saying the librarian will create guidelines instead of setting guidelines""}"
no.003,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""THere isnt any strong words here that makes it authoritive but its not written with more weak tones like \""can\""""}"
no.003,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""Saying they may auhtorize is very subjective and lax so its not very authoritive""}"
no.004,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""The words Administrator and Administration being capitalized ""}"
no.004,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""The word Librarain being capitalized. Specific subsections being referenced.""}"
no.004,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""Gives specifical guidelines and references paragraphs""}"
no.004,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""References specific acts""}"
no.004,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""It sounds complex with it's requirements""}"
no.004,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""References specific subsections""}"
no.004,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""Has very formal and official language""}"
no.004,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""It imposes restrictions but the language is simple and easy to understand""}"
no.004,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""References specific paragraph sections""}"
no.004,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""Is clear in the Secretary's authority but gives some leeway to lessee's""}"
no.004,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""Gives clear language ""}"
no.004,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""It provides simple guidelines for procedures""}"
no.004,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""It gives complete control to the liquidating agent""}"
no.004,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""It gives clear language on responsibilities and consequences""}"
no.004,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""Gives clear language to prevent unsafe conditions""}"
no.004,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""Gives basic procedures regarding court of law""}"
no.005,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""The wording is simple and straightforward, with sources provided.""}"
no.005,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""The language used is fairly clear and straightforward, explaining the process and time limits for appeals. ""}"
no.005,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""The intent is clear, but the wording is somewhat confusing upon first reading.""}"
no.005,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""I think this legislation would sound more authoritative if the wording were changed from \""may\"" to \""must.\"" It is also unclear what constitutes a \""serious\"" misdemeanor arrest in this case. ""}"
no.005,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""The legislation makes it clear that both the fiscal officer and officer of the National Guard are responsible for the money.""}"
no.005,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""The draft legislation clearly states that the Secretary should take into account both actual experience of pension plans and results of available independent studies. However, it is somewhat unclear exactly what \""take into account\"" means in this instance or how much weight should be given to each.""}"
no.005,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""This draft legislation is somewhat unclear, at least out of context.""}"
no.005,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""It is clear that the operator must examine and test the roof, face, and ribs. However, it is unclear exactly how often it is deemed necessary to do so and what the consequences are if this does not happen.""}"
no.005,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""The wording of the legislation seems clear with little room for misinterpretation. ""}"
no.005,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""The legislation clearly outlines the procedure for providing a seal to indicate that a film is included in the National Film Registry.""}"
no.005,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""The legislation specifies how much the Secretary of the Treasury may contribute, assuming that the amounts are provided for in the appropriations Acts.""}"
no.005,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""The legislation comprehensively describes procedures and timelines for readjusting terms and conditions of a geothermal lease, however, it is a bit difficult to understand on first reading.""}"
no.005,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""The legislation is fairly clear and straightforward about when the Administrator can direct officers and employees to carry firearms. However, it isn't clear when this is deemed necessary in the public interest.""}"
no.005,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""The wording of this legislation is somewhat vague. ""}"
no.005,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""The legislation is fairly clear and informative, but not particularly authoritative in its language.""}"
no.005,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""The legislation clearly outlines when an apprentice may drive a commercial motor vehicle. ""}"
no.006,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""It is unclear why a property and fiscal officer would as a National Guard officer to disburse funds on his behalf. ""}"
no.006,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""why does the language say: \""where Coast Guard marine inspectors are not normally available\""? The statement should be more explicit.""}"
no.006,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""There is a clear sequence of events to be followed: \""shall be deemed to be reappropriated...\"" in the event legislature shall have failed to pass...""}"
no.006,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""I don't know why the logic jumps. It doesn't make sense to me.""}"
no.006,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""The wording is muddled. During both the probationary period and after the apprenticeship program an apprentice can drive a commercial motor vehicle unless otherwise denied by the Secretary. What's the point?""}"
no.006,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""Very specific guidelines are provided in the event that something does not happen.""}"
no.006,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""There are thousands of pension plans. I don't under why the wording isn't more speciic.""}"
no.006,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""Is this arbitration? How is it that no court may review the Board's determination?""}"
no.006,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""Nothing follows. How can a seal be used UNLESS it is accordance with the subsection?""}"
no.006,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""What are lower case 'appropriation' Acts? ""}"
no.006,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""Very straightforward and logical content.""}"
no.006,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""I was fine with everything up until this clause: and not as part of the National Science Foundation Act of 1950 which comprises this chapter.""}"
no.006,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""Why do the two statements overlap: A criminal justice agency may satisfy the requirement of this subsection by reporting or indexing all felony and serious misdemeanor arrests and dispositions.""}"
no.006,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""very straightforward process.""}"
no.006,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""It all sounds nebulous and non-commital. ""}"
no.006,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""It's not altogether clear what constitutes official duties for either the officers and contractors. ""}"
no.007,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""I said it sounded very professional because they reference the names of the acts.""}"
no.007,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""This one sounded very authoritative because of the strong words and vocabulary.""}"
no.007,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""it was authoritative because it is structured very well.""}"
no.007,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""it sounded very authoritative because it references the specific subsections.""}"
no.007,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""it sounded very authoritative because it is very long and detailed.""}"
no.007,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""it sounds very authoritative because it is very clear on the duties of people involved.""}"
no.007,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""it sounds authoritative because it is very direct and full of information.""}"
no.007,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""this was authoritative because it was very clear in direction and detail.""}"
no.007,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""this one sounded more relaxed compared to the rest of them honestly.""}"
no.007,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""this sounds authoritative because of the use of structure and control.""}"
no.007,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""this sounds authoritative because it states clear legal powers and limits.""}"
no.007,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""it was very authoritative because it gives it the tone of enforceable law rather than opinion.""}"
no.007,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""it sounds highly authoritative because it uses formal statutory language.""}"
no.007,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""It sounds very authoritative because it tells the operator exactly what to do and when.""}"
no.007,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""This sounds authoritative because it gives the liquidating agent full control to accept or reject claims and it be final.""}"
no.007,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""it sounds authoritative because it says the court can’t use late timing as an excuse and forces them to act fast when the State tells them to.""}"
no.008,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""The state is provided instructions on what to do should they want to enforce the time limit.""}"
no.008,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""It's clear that in cases of involuntary petitions, bonds are required from the petitioners.""}"
no.008,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""This provision is in place for instances when the legislature hasn't decided on funding by the end of the fiscal year. It's clear that the previous bills' sums will be used.""}"
no.008,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""This is firm in stating that the liquidating agent has the final say.""}"
no.008,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""Shall is somewhat authoritative but doesn't sound like a requirement. Also, stating that a criminal justice agency \""may\"" satisfy...sounds like it's subjective.""}"
no.008,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""This is in the middle because this is discretionary based on what the Administrator deems necessary.""}"
no.008,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""The Secretary has this power that is provided by this particular Act, and it has limitations.""}"
no.008,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""There are guidelines for the Librarian as well as rules on the the limitations of the seal.""}"
no.008,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""This is firm on the identities of the responsible parties and the penalties for violating these responsibilities.""}"
no.008,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""The language sounds much more passive than authoritative. ""}"
no.008,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""These guidelines are clear on the procedure, reasoning behind it, the frequency and the remedy.""}"
no.008,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""This provision is clear on the process under this statute but it sounds more informative than authoritative. ""}"
no.008,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""There are several subsections listing the prerequisites for allowing an apprentice to drive a commercial vehicle. ""}"
no.008,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""This is providing rights and limitations in this situation. The limitations make it sound more authoritative. ""}"
no.008,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""This is authoritative because the options are listed as well as a default provision in case of no objection.""}"
no.008,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""It is firmly stated exactly what the funds cannot be used for.""}"
no.009,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""I rated this draft as authoritative because it clearly explains what is not allowed and what the State can do, using formal legal language. The 30-day deadline for the court adds clarity and authority.\n""}"
no.009,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""I rated this draft as authoritative because it clearly states the Secretary’s power and the limits set by appropriations Acts.\n""}"
no.009,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""I rated this draft as authoritative because it clearly explains the Secretary’s power and the rules for making mortality tables.\n""}"
no.009,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""I rated this draft as authoritative because it clearly tells operators to check for and fix hazards right away.\n""}"
no.009,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""I rated this draft as authoritative because it clearly explains the Secretary’s power and the limits on contract inspectors.\n""}"
no.009,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""I rated this draft as authoritative because it clearly says who can carry firearms and when.""}"
no.009,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""I rated this draft as authoritative because it clearly explains subpoena rules, witness fees, and limits on access to classified information.\n""}"
no.009,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""I rated this draft as authoritative because it clearly gives the liquidating agent final say over claims and blocks court review.\n""}"
no.009,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""I rated this draft as authoritative because it clearly says funds cannot be used for construction or renovation and cites the relevant laws.""}"
no.009,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""It clearly says who can use the seal and limits its use to the Registry version of the film.\n\n""}"
no.009,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""I rated this draft as authoritative because it clearly says both officers are responsible for the money and can be punished for misconduct.\n""}"
no.009,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""I rated this draft as authoritative because it clearly says the Secretary can adjust lease terms and explains how lessees are notified and agree.\n""}"
no.009,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""It clearly sets when an apprentice may drive, defines probationary periods, and allows the Secretary to address safety concerns.""}"
no.009,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""It clearly says last year’s funds are automatically reapproved if new appropriation bills aren’t passed.\n""}"
no.009,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""I rated this draft as authoritative because it clearly says how the petition is handled, lets the court require a bond, and covers possible costs and damages.\n""}"
no.009,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""I rated this draft as authoritative because it requires agencies to report child abuse crime information and shows how to comply.""}"
no.010,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""the way it is structured, especially the lettered subparagraphs, it seems so strict and almost robotic.""}"
no.010,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""the language feels flexible, while it is a directive, it doesn't sound aggressive. ""}"
no.010,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""it gives a directive but the language is not aggressive, and the explanation also makes it sound less forceful.""}"
no.010,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""the language seems very restrictive, with deadlines, and clear descriptions of the powers of the secretary.""}"
no.010,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""Draft has a neutral tone, not forceful but still stating what should be done.""}"
no.010,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""Sounds strict, also the clear definition of responsibility makes it more authoritative.""}"
no.010,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""the use of language like \""subsection\""""}"
no.010,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""does not sound forceful.""}"
no.010,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""the language isn't too aggressive.""}"
no.010,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""sounds more strict, and the use of \""shall\"" here makes it sound like and order.""}"
no.010,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""language like \""subsection\"" and the use of letters to describe the subsections.""}"
no.010,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""Sounds like a forceful directive.""}"
no.010,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""doesn't sound too aggressive, more like a suggestion.""}"
no.010,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""Balanced, not at either extreme, the language doesn't seem aggressive.""}"
no.010,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""Sounds more authoritative as it shows the limits of the secretary's power.""}"
no.010,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""Does not sound too authoritative, it sounds more like a guideline.""}"
no.011,/us/usc/t30/s1007__s1_k3,HHS,NA,"{""Q0"":""the terms sounds very much like a legal document""}"
no.011,/us/usc/t28/s2266__s13_k3,LHS,NA,"{""Q0"":""the words sound very much like a legal briefing you would hear in a court or see on a legal brief.""}"
no.011,/us/usc/t32/s708__s7_k3,LHM,NA,"{""Q0"":""the wording is stated as a real legal document would sound.""}"
no.011,/us/usc/t48/s1423j__s1_k3,HLS,NA,"{""Q0"":""the words made sense and sound logical ""}"
no.011,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""The words sound logical and like a legal document or law.""}"
no.011,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""The words are logical and sound like a legal document would sound.""}"
no.011,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""the wording sounds logical and like a real legal brief.""}"
no.011,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""the wording makes sense and sounds reasonable""}"
no.011,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""the wording sounds logical and like a legal document would sound.""}"
no.011,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""the wording is professional and sounds like a legal document would sound""}"
no.011,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""The wording is professional and makes sense.""}"
no.011,/us/usc/t12/s1787__s49_k3,LHM,NA,"{""Q0"":""The wording makes sense and sound professional""}"
no.011,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""the wording sounds professional and legal.""}"
no.011,/us/usc/t11/s303__s55_k3,HHM,NA,"{""Q0"":""the wording is professional and legal sounding""}"
no.011,/us/usc/t22/s283z–11__s1_k3,LLM,NA,"{""Q0"":""the wording makes sense and sounds like a legal document would sound""}"
no.011,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""the wording sounds legal and professional""}"
no.012,/us/usc/t2/s179m__s7_k3,LLS,NA,"{""Q0"":""It is a command from the government. While not very impactful on daily life, it is still a command.""}"
no.012,/us/usc/t51/s20133__s1_k3,HHM,NA,"{""Q0"":""I am very distrustful of the government telling us who can and cannot carry guns.""}"
no.012,/us/usc/t30/s862__s31_k3,HLS,NA,"{""Q0"":""Basic rules and regulations for safety are not authoritarian.""}"
no.012,/us/usc/t42/s1862p–2__s10_k3,HLM,NA,"{""Q0"":""This is a public good regulation that does not feel authoritarian.""}"
no.012,/us/usc/t46/s3714__s19_k3,LLM,NA,"{""Q0"":""This is just regulations on what a position can do or not do. A job description of sorts.""}"
no.012,/us/usc/t8/s1534__s31_k4,LHS,NA,"{""Q0"":""I don't like cutting \""aliens\"" out of information and basic rights.""}"
no.012,/us/usc/t49/s31315__s142_k3,HLM,NA,"{""Q0"":""This is another job description.""}"
no.012,/us/usc/t29/s1084__s70_k3,LLS,NA,"{""Q0"":""It is regulating honesty in reporting of information.""}"
no.012,/us/usc/t34/s40101__s1_k3,HHS,NA,"{""Q0"":""I tis protecting the reporting of information regarding victims.""}"
